POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1131810341","5800",MR PIZZA,N,-9.18695,38.75442,Restaurante,"1106","11","031","01","11061103101","022406",Lisboa
"1131810344","9996",MUNDO DO CAFÉ,N,-9.18695,38.75442,Café,"1106","11","031","01","11061103101","022406",Lisboa
"1070564711","5800",ESTRELA DA MANH?,N,-9.10995,38.75433,Restaurante,"1106","21","014","02","11062101402","022406",Lisboa
"1070564708","5800",CHURRASQUEIRA SOUTOSA,N,-9.10958,38.75421,Restaurante,"1106","21","014","02","11062101402","022406",Lisboa
"1148634132","5800",LOW-COST.COME,N,-9.18739,38.74696,Restaurante,"1106","39","037","01","11063903701","022406",Lisboa
"1132517068","5800",KFC,N,-9.14044,38.76325,Restaurante,"1106","33","001","01","11063300101","022406",Lisboa
"1070564715","9996",CAFÉ MARUMA,N,-9.11062,38.7544,Café,"1106","21","019","01","11062101901","022406",Lisboa
"69992651","5800",ADEGA DO TEIXEIRA,N,-9.14491,38.71478,Restaurante,"1106","15","001","04","11061500104","022406",Lisboa
"996719741","5800",MARISQUEIRA POPULAR,N,-9.13807,38.71272,Restaurante,"1106","48","002","02","11064800202","022406",Lisboa
"996719740","5800",UNIDOS DO MINHO,N,-9.1381,38.71279,Restaurante,"1106","48","002","02","11064800202","022406",Lisboa
"842821069","5800",MCDONALD'S,N,-9.14496,38.73534,Restaurante,"1106","23","032","02","11062303202","022406",Lisboa
"67195494","5800",1/3 D'ÁGUA,N,-9.09779,38.77007,Restaurante,"1106","33","033","04","11063303304","022406",Lisboa
"1143826121","5800",RESTAURANTE O MOISÉS,N,-9.13907,38.73523,Restaurante,"1106","44","004","01","11064400401","022406",Lisboa
"1143826120","5800",MANJAR,N,-9.13788,38.7354,Restaurante,"1106","44","004","01","11064400401","022406",Lisboa
"1130801595","5800",CLUBE DO FADO,N,-9.13121,38.70961,Restaurante,"1106","52","002","05","11065200205","022406",Lisboa
"1148072386","9996",JAZZ CAFÉ,N,-9.16217,38.77626,Café,"1106","18","007","03","11061800703","022406",Lisboa
"69992510","5800",CARCASSONNE,N,-9.14006,38.75442,Restaurante,"1106","42","010","03","11064201003","022406",Lisboa
"842821066","5800",MCDONALD'S,N,-9.13801,38.74191,Restaurante,"1106","43","013","01","11064301301","022406",Lisboa
"67174995","5800",BOTA FEIJ?O,N,-9.09944,38.77076,Restaurante,"1106","33","042","01","11063304201","022406",Lisboa
"998751315","5800",ESTRELA DO PARQUE,N,-9.15615,38.72798,Restaurante,"1106","50","012","01","11065001201","022406",Lisboa
